"city","state","btus_pmile_ave","density","lookup","lon","lat"
"Medford","OR",5712.75,949.367088607595,"Medford, OR",-122.8755949,42.3265152
"Memphis","TN",14168.5,3085.51041666667,"Memphis, TN",-90.0489801,35.1495343
"Merced","CA",7922.7,4000,"Merced, CA",-120.4829677,37.3021632
"Meridian","ID",13671.8,4130.68181818182,"Meridian, ID",-116.3915131,43.6121087
"Mesquite","TX",13999.7,3195.12195121951,"Mesquite, TX",-96.5991593,32.7667955
"Miami","FL",6945.175,8171.97712418301,"Miami, FL",-80.2264393,25.7889689
"Miami Lakes","FL",1201.2,4407.73835125448,"Miami Lakes, FL",-80.3086619,25.9087056
"Middletown","CT",24822.6,467.979274611399,"Middletown, CT",-72.6506488,41.5623209
"Middletown","OH",12618.1,2474.5,"Middletown, OH",-84.3982763,39.5150576
"Milford","CT",12095,2125,"Milford, CT",-73.064036,41.2306979
"Milwaukee","WI",4860.83333333333,3966.93670886076,"Milwaukee, WI",-87.9064736,43.0389025
"Minneapolis","MN",3107.56666666667,2945.78515007899,"Minneapolis, MN",-93.26667,44.983334
"Missoula","MT",12945.5333333333,1506.83561643836,"Missoula, MT",-114.019501,46.8605189
"Mobile","AL",10784.55,2145.52136752137,"Mobile, AL",-88.0430541,30.6943566
"Modesto","CA",7394.65,4951.21951219512,"Modesto, CA",-120.9968782,37.6390972
"Moline ","IL",14145.0666666667,2601.23913043478,"Moline , IL",-90.5151342,41.5067003
"Monroe","LA",14072.3,1774.1935483871,"Monroe, LA",-92.1193012,32.5093109
"Monroe","NY",12610.85,2096.28,"Monroe, NY",-74.1868135,41.3306493
"Montclair","NJ",1923.8,1.87819185645273,"Montclair, NJ",-74.2090053,40.8259007
"Montebello","CA",4474.8,7313.12820512821,"Montebello, CA",-118.1137535,34.0165053
"Monterey","CA",6942.53333333333,1257.14285714286,"Monterey, CA",-121.8946761,36.6002378
"Montgomery","AL",15865.7,1493.0962962963,"Montgomery, AL",-86.2999689,32.3668052
"Moorhead","MN",10807.9,1829.95652173913,"Moorhead, MN",-96.7678039,46.8737648
"Morgantown","WV",16165.85,364.567164179104,"Morgantown, WV",-79.9558968,39.629526
"Mount Vernon","NY",7677.5,2052.13111111111,"Mount Vernon, NY",-73.8370786,40.9125992
"Muncie","IN",12080.25,3746.11111111111,"Muncie, IN",-85.3863599,40.1933767
"Murfreesboro","TN",14951.35,1543.80681818182,"Murfreesboro, TN",-86.39027,35.8456213
"Muscle Shoals","AL",8029.2,67.6923076923077,"Muscle Shoals, AL",-87.6675292,34.7448112
"Muskegon Heights","MI",7822.4,322.960151802657,"Muskegon Heights, MI",-86.2389464,43.2011264
"Nanuet","NY",7382.4,1483.10055865922,"Nanuet, NY",-74.013473,41.0887073
"Napa","CA",13243.8,3066.66666666667,"Napa, CA",-122.286865,38.2975381
"Naples","FL",7093,220.113681427627,"Naples, FL",-81.7948103,26.1420358
"Nashua","NH",8210.35,2500,"Nashua, NH",-71.467566,42.7653662
"Nashville","TN",5623.2,393.907527703477,"Nashville, TN",-86.7833333,36.1666667
"Newark","NJ",6327.275,4931.62527968448,"Newark, NJ",-74.1723667,40.735657
"Newark","OH",15617.85,238.214285714286,"Newark, OH",-82.4012642,40.0581205
"New Bedford","MA",9835.35,3973,"New Bedford, MA",-70.934205,41.6362152
"New Brunswick","NJ",2912.1,1878.19185645273,"New Brunswick, NJ",-74.4518188,40.4862157
"Newburgh","NY",4774.9,1887.68939393939,"Newburgh, NY",-74.0104178,41.5034271
"Newington","CT",9716.65,2192.98245614035,"Newington, CT",-72.7228293,41.6972996
"New Orleans","LA",17045.225,6476.153125,"New Orleans, LA",-90.0715323,29.9510658
"New Windsor","NY",5913.1,1704.54545454545,"New Windsor, NY",-74.0237518,41.4767605
"New York","NY",13925.7818181818,19782.7363522013,"New York, NY",-74.0059731,40.7143528
"Niles","OH",13586.9,360.1856,"Niles, OH",-80.765358,41.1828353
"Normal","IL",14539.75,4039.86206896552,"Normal, IL",-88.9906312,40.5142026
" Norman","OK",21369.85,543.719101123595," Norman, OK",-97.4394777,35.2225668
"North Little Rock","AR",16992.0333333333,1710.26595744681,"North Little Rock, AR",-92.2670941,34.769536
"Norwalk","CA",26873.05,5917.7027027027,"Norwalk, CA",-118.081733,33.9022367
"Norwalk","CT",18921.45,2415.55555555556,"Norwalk, CT",-73.4078968,41.1175966
"Oakland","CA",7219.4,4462.87454323995,"Oakland, CA",-122.2711137,37.8043637
"Oceanside","CA",5264.7,2109.18114143921,"Oceanside, CA",-117.3794834,33.1958696
"Odessa","TX",17876.5,2594.59459459459,"Odessa, TX",-102.3676431,31.8456816
"Oklahoma City","OK",12423.7,2664.84016393443,"Oklahoma City, OK",-97.5164276,35.4675602
"Olathe","KS",11110.75,1944.11111111111,"Olathe, KS",-94.8191285,38.8813958
"Olympia","WA",6059.16666666667,1597.9381443299,"Olympia, WA",-122.9006951,47.0378741
"Omaha","NE",15217.5,3254,"Omaha, NE",-95.9979883,41.2523634
"Opelika","AL",22225.3,188.985221674877,"Opelika, AL",-85.3782795,32.6454116
"Orange","CA",5203.025,6601.4688172043,"Orange, CA",-117.8531119,33.7877944
"Orlando","FL",5740.66666666667,711.552797478329,"Orlando, FL",-81.3792365,28.5383355
"Oshkosh","WI",18472.0666666667,2632.4,"Oshkosh, WI",-88.5426136,44.0247062
"Owego","NY",6921.75,805.184615384615,"Owego, NY",-76.2621549,42.1034075
"Oxnard","CA",2352.65,3962.89010989011,"Oxnard, CA",-119.1770516,34.1975048
"Paramus","NJ",2717.8,1878.19185645273,"Paramus, NJ",-74.0754189,40.9445428
"Parkersburg","WV",12997.7,3016.42857142857,"Parkersburg, WV",-81.5615135,39.2667418
"Pensacola","FL",22705.3,1901.89673913043,"Pensacola, FL",-87.2169149,30.421309
"Peoria","AZ",16578.5,857.142857142857,"Peoria, AZ",-112.2373779,33.5805955
"Peoria","IL",5264.8,1979,"Peoria, IL",-89.5889864,40.6936488
"Petaluma","CA",14346.45,4550,"Petaluma, CA",-122.6366524,38.232417
"Petersburg","VA",11447.35,4471.42857142857,"Petersburg, VA",-77.4019267,37.2279279
"Philadelphia","PA",7532.65,3841.46144994246,"Philadelphia, PA",-75.163789,39.952335
"Phoenix","AZ",10670.6,3349.80117916803,"Phoenix, AZ",-112.0740373,33.4483771
"Pinole","CA",13401,3100,"Pinole, CA",-122.2988587,38.0043667
"Pittsburgh","PA",14028.6666666667,1873.48835705045,"Pittsburgh, PA",-79.9958864,40.4406248
"Pittsfield","MA",8807.75,332.03125,"Pittsfield, MA",-73.2453824,42.4500845
"Pocatello","ID",8204.9,2265.40740740741,"Pocatello, ID",-112.4455344,42.8713032
"Pomona","NY",8246.95,1705.52840909091,"Pomona, NY",-74.053709,41.18985
"Pompano Beach","FL",6861.38333333333,1510.07296570276,"Pompano Beach, FL",-80.1247667,26.2378597
"Portage","IN",7700.9,3321.92,"Portage, IN",-87.1761455,41.5758707
"Port Arthur","TX",14886.3,1480.89743589744,"Port Arthur, TX",-93.939947,29.8849504
"Porterville","CA",8509.45,2141.46428571429,"Porterville, CA",-119.0167679,36.06523
"Port Huron","MI",8312.86666666667,234.621428571429,"Port Huron, MI",-82.4249142,42.9708634
"Portland","ME",6171.825,419.18183742591,"Portland, ME",-70.2553259,43.661471
"Portland","OR",4966.82,911.495328130153,"Portland, OR",-122.6762071,45.5234515
"Port Richey","FL",10049.9,633.16644295302,"Port Richey, FL",-82.7195451,28.2716755
"Port Tobacco","MD",7618.4,263.240174672489,"Port Tobacco, MD",-77.018833,38.5113836
"Port Washington","WI",10610,367.612765957447,"Port Washington, WI",-87.875644,43.3872247
"Poughkeepsie","NY",8531.53333333333,342.607760635811,"Poughkeepsie, NY",-73.9209701,41.7003713
"Preston","CT",21900.6,964.003076923077,"Preston, CT",-71.97657,41.527321
"Providence","RI",13477.8333333333,730.027158774373,"Providence, RI",-71.4128343,41.8239891
"Pueblo","CO",10972.55,2692.30769230769,"Pueblo, CO",-104.6091409,38.2544472
"Punta Gorda","FL",15187.4,725.533333333333,"Punta Gorda, FL",-82.0453664,26.9297836
"Queensbury","NY",19673.25,1298.76086956522,"Queensbury, NY",-73.6569444,43.3594444
"Racine","WI",13220.45,4151.85185185185,"Racine, WI",-87.7828523,42.7261309
"Raleigh","NC",5713.85,2893.5,"Raleigh, NC",-78.6381787,35.7795897
"Rapid City","SD",8016.05,1227.27272727273,"Rapid City, SD",-103.2310149,44.0805434
"Reading","PA",11032.9666666667,432.451388888889,"Reading, PA",-75.9268747,40.3356483
"Redding","CA",32706.85,1174.78,"Redding, CA",-122.3916754,40.5865396
"Redondo Beach","CA",12249.15,4866.23076923077,"Redondo Beach, CA",-118.3884078,33.8491816
"Reno","NV",2660.6,2352.77205882353,"Reno, NV",-119.8138027,39.5296329
"Research Triangle Park","NC",4951.06666666667,657.623606557377,"Research Triangle Park, NC",-78.8636402,35.8991678
"Richland","WA",11803.15,1875,"Richland, WA",-119.2844621,46.2856907
"Richmond","VA",5035.3,1980.49339207048,"Richmond, VA",-77.4360481,37.5407246
"Riverside","CA",6688.25,655.679254417817,"Riverside, CA",-117.3961564,33.9533487
"Roanoke","VA",8635.15,2207.23255813953,"Roanoke, VA",-79.9414266,37.2709704
"Rochester","MN",7602.85,709.047619047619,"Rochester, MN",-92.46295,44.0234
"Rochester","NY",9944.2,2369.94539249147,"Rochester, NY",-77.6109219,43.16103
"Rochester","PA",6927.4,390.165909090909,"Rochester, PA",-80.2864509,40.7022882
"Rockford","IL",10254.2,1992.73913043478,"Rockford, IL",-89.0939952,42.2711311
"Rockville","MD",3166.9,1961.61616161616,"Rockville, MD",-77.1527578,39.0839973
"Rocky Hill","CT",1205.7,1911.59139784946,"Rocky Hill, CT",-72.6655757,41.6572525
"Rome","GA",11930.8,1541.66666666667,"Rome, GA",-85.1646726,34.257038
"Roseville","CA",15818.95,3216.13888888889,"Roseville, CA",-121.2880059,38.7521235
"Sacramento","CA",8036.6,3963.65342960289,"Sacramento, CA",-121.4943996,38.5815719
"Saginaw","MI",34351.4,2015.87301587302,"Saginaw, MI",-83.9508068,43.4194699
"Salem","OR",3110.73333333333,3176.92307692308,"Salem, OR",-123.0350963,44.9428975
"Salt Lake City","UT",6296.91666666667,1235.42280453258,"Salt Lake City, UT",-111.8910474,40.7607793
"San Angelo","TX",16450.85,1573.71428571429,"San Angelo, TX",-100.4370375,31.4637723
"San Antonio","TX",8035.575,1282.73948887057,"San Antonio, TX",-98.4936282,29.4241219
"San Bernardino","CA",6645.75,3179.82456140351,"San Bernardino, CA",-117.2897652,34.1083449
"San Carlos","CA",5533.18,8406.69062226117,"San Carlos, CA",-122.2605222,37.5071591
"San Diego","CA",6033.74,1495.32421052632,"San Diego, CA",-117.1572551,32.7153292
"Sandusky","OH",13650.6,1612.28571428571,"Sandusky, OH",-82.7079605,41.4489396
"San Francisco","CA",12010.3333333333,8460.78531073446,"San Francisco, CA",-122.4194155,37.7749295
"San Jose","CA",5102.7,5769.55828220859,"San Jose, CA",-121.8949555,37.3393857
"San Luis Obispo","CA",10492,69.5010523150932,"San Luis Obispo, CA",-120.6596156,35.2827524
"San Saba","TX",8560.2,46.9143128412058,"San Saba, TX",-98.718098,31.1957234
"Santa Barbara","CA",9977.75,3585.21428571429,"Santa Barbara, CA",-119.6981901,34.4208305
"Santa Clarita","CA",3504.6,3147.66666666667,"Santa Clarita, CA",-118.542586,34.3916641
"Santa Cruz","CA",6171.35,570.713004484305,"Santa Cruz, CA",-122.0307963,36.9741171
"Santa Fe","NM",8815.4,1856.09756097561,"Santa Fe, NM",-105.937799,35.6869752
"Santa Maria","CA",18379,3532.26470588235,"Santa Maria, CA",-120.4357191,34.9530337
"Santa Monica","CA",12524.8,8990.3137254902,"Santa Monica, CA",-118.4911912,34.0194543
"Santa Rosa","CA",11663.9166666667,1489.16326530612,"Santa Rosa, CA",-122.7144314,38.4404674
"Sarasota","FL",12463.7666666667,1848.94835680751,"Sarasota, FL",-82.5306527,27.3364347
"Savannah","GA",16089.3,529.7899543379,"Savannah, GA",-81.0998342,32.0835407
"Scottsdale","AZ",12407.8,1333.33333333333,"Scottsdale, AZ",-111.9260519,33.4941704
"Scranton","PA",12782.1333333333,2421.49285714286,"Scranton, PA",-75.6624122,41.408969
"Seattle","WA",5866.47857142857,1410.31496695839,"Seattle, WA",-122.3320708,47.6062095
"Sheboygan","WI",13075.6,2586.52173913043,"Sheboygan, WI",-87.71453,43.7508284
"Sherman","TX",5025,40.7479288125192,"Sherman, TX",-96.6088805,33.6356618
"Shreveport","LA",9894.9,4206.65573770492,"Shreveport, LA",-93.7501789,32.5251516
"Simi Valley","CA",8438.95,2687.85106382979,"Simi Valley, CA",-118.781482,34.2694474
"Sioux City","IA",5893.65,2015.64705882353,"Sioux City, IA",-96.4003069,42.4999942
"Sioux Falls","SD",7566.9,2117.64705882353,"Sioux Falls, SD",-96.700327,43.5499749
"Snow Hill ","MD",17506.45,140.184367034834,"Snow Hill , MD",-75.3926959,38.1770634
"South Bend","IN",14325.175,2376.76666666667,"South Bend, IN",-86.2519898,41.6763545
"South Daytona","FL",6755.96666666667,388.293289146645,"South Daytona, FL",-81.0044995,29.1658158
"Spartanburg","SC",6794.5,392.749706227967,"Spartanburg, SC",-81.9320482,34.9495672
"Spokane","WA",6862.575,1589.1935483871,"Spokane, WA",-117.4260466,47.6587802
"Springdale","AR",17836.2,2269.73684210526,"Springdale, AR",-94.1288141,36.1867442
"Springfield","IL",13555.85,2032.30769230769,"Springfield, IL",-89.6501481,39.7817213
"Springfield","MA",12988.9,1826.30132450331,"Springfield, MA",-72.589811,42.1014831
"Springfield","MO",11338.95,1922.31707317073,"Springfield, MO",-93.2922989,37.2089572
"Springfield","OH",10450.9,2500,"Springfield, OH",-83.8088171,39.9242266
"Spring Valley","NY",3373.3,1834.6797752809,"Spring Valley, NY",-74.0437521,41.1131514
"State College","PA",5113.16666666667,627.398496240602,"State College, PA",-77.8600012,40.7933949
"Staten Island","NY",5168.2,8334.40677966102,"Staten Island, NY",-74.1502007,40.5795317
"St. Augustine","FL",104521.25,248.833333333333,"St. Augustine, FL",-81.3132083,29.8942639
"St. Cloud","MN",9622.3,3407.86206896552,"St. Cloud, MN",-94.1632404,45.5579451
"St. Joseph","MO",11857.3,1510,"St. Joseph, MO",-94.836541,39.757944
"St. Louis","MO",7892.73333333333,2698.27586206897,"St. Louis, MO",-90.1994042,38.6270025
"Stockton","CA",10888.45,1287.72436040044,"Stockton, CA",-121.2907796,37.9577016
"St. Paul","MN",5878.875,1092.08130729374,"St. Paul, MN",-93.0899578,44.9537029
"St. Petersburg","FL",18914.3666666667,3661.68067226891,"St. Petersburg, FL",-82.64,27.7730556
"Stuart","FL",22644.6,248.569369369369,"Stuart, FL",-80.2528257,27.197548
"Sugar Land","TX",11579.1,529.885714285714,"Sugar Land, TX",-95.6349463,29.6196787
"Sumter","SC",7107.1,87.1756644518272,"Sumter, SC",-80.3414693,33.9204354
"Surprise","AZ",20236,1329.78723404255,"Surprise, AZ",-112.3957576,33.639099
"Syracruse","NY",17193.55,2111.76712328767,"Syracruse, NY",-76.1474244,43.0481221
"Syracuse","NY",8696.15,1505.79607250755,"Syracuse, NY",-76.1474244,43.0481221
"Tacoma","WA",8606.65,1832.14975845411,"Tacoma, WA",-122.4442906,47.2528768
"Tallahassee","FL",14547,1591.27450980392,"Tallahassee, FL",-84.2807329,30.4382559
"Tampa","FL",9035.825,3379.86008230453,"Tampa, FL",-82.4571776,27.950575
"Taunton","MA",8550.75,1363.54166666667,"Taunton, MA",-71.0897674,41.900101
"Tavares","FL",8446.7,1373.19718309859,"Tavares, FL",-81.725632,28.8041579
"Tempe","AZ",8062.3,4020.5,"Tempe, AZ",-111.9400054,33.4255104
"Terre Haute","IN",19827.6,3311.88888888889,"Terre Haute, IN",-87.4139092,39.4667034
"Texas City","TX",9995.7,245.042040358744,"Texas City, TX",-94.9027002,29.383845
"Thousand Oaks","CA",7825.9,2367.43636363636,"Thousand Oaks, CA",-118.8375937,34.1705609
"Thousand Palms","CA",1838.25,277.759821428571,"Thousand Palms, CA",-116.3902887,33.8200183
"Toledo","OH",10637.4,2736.80536912752,"Toledo, OH",-83.555212,41.6639383
"Topeka","KS",9938.33333333333,2109.94827586207,"Topeka, KS",-95.6890185,39.0558235
"Torrance","CA",6788.05,5891.71844660194,"Torrance, CA",-118.3406288,33.8358492
"Troy","OH",12119.9,241.99756097561,"Troy, OH",-84.2032767,40.0394982
"Tucson   ","AZ",7723.95,2365.21739130435,"Tucson   , AZ",-110.926479,32.2217429
"Tulsa","OK",18240.7333333333,2040.81632653061,"Tulsa, OK",-95.992775,36.1539816
"Turlock","CA",5307.35,4524.46666666667,"Turlock, CA",-120.8465941,37.4946568
"Tuscaloosa","AL",15605.8,778.652173913043,"Tuscaloosa, AL",-87.5691735,33.2098407
"Tuscon","AZ",1482.4,91.8213080857547,"Tuscon, AZ",-110.926479,32.2217429
"Union City","CA",12635.45,4105.55555555556,"Union City, CA",-122.0438298,37.5933918
"University Place","WA",22023.7,3433.47639484979,"University Place, WA",-122.5504041,47.2356536
"Urbana","IL",19240.5333333333,4116.13333333333,"Urbana, IL",-88.2072697,40.1105875
"Vallejo","CA",13767.7333333333,4375,"Vallejo, CA",-122.2566367,38.1040864
"Valparaiso","IN",11406.6,136.264389869532,"Valparaiso, IN",-87.0611412,41.4730948
"Vancouver","WA",6346.2,2633.34532374101,"Vancouver, WA",-122.6614861,45.6387281
"Ventura","CA",5894.9,5291.66666666667,"Ventura, CA",-119.2290053,34.2746405
"Vero Beach","FL",9863.2,669.925714285714,"Vero Beach, FL",-80.3972736,27.6386434
"Vestal","NY",11540.1333333333,231.741573033708,"Vestal, NY",-76.053813,42.0850747
"Victoria","TX",15951.55,2020.1,"Victoria, TX",-97.0035982,28.8052674
"Visalia","CA",4920.6,3500,"Visalia, CA",-119.2920585,36.3302284
"Waco","TX",18429.3,2021.39655172414,"Waco, TX",-97.1466695,31.549333
"Washington","DC",10387.125,4793.59682080925,"Washington, DC",-77.0364641,38.9072309
"Washington","PA",19823.5,1867.69696969697,"Washington, PA",-80.2461714,40.17396
"Waterbury","CT",10695.35,3259.06896551724,"Waterbury, CT",-73.0514965,41.5581525
"Waterloo","IA",17877.1333333333,1229.41573033708,"Waterloo, IA",-92.3429631,42.4927641
"Waukesha","WI",17601.025,1687.5,"Waukesha, WI",-88.2314813,43.0116784
"Wausau","WI",6612.5,1685.66666666667,"Wausau, WI",-89.6301221,44.9591352
"Weehawken","NJ",9635,4714.50386597938,"Weehawken, NJ",-74.0253715,40.7663711
"Wenatchee","WA",9849.46666666667,65.625,"Wenatchee, WA",-120.3103494,47.4234599
"West Bend","WI",7809.95,293.95632183908,"West Bend, WI",-88.1834277,43.4252776
"West Covina","CA",1745.6,4635.58409785933,"West Covina, CA",-117.9389526,34.0686208
"West Deptford","NJ",4287.9,881.215805471125,"West Deptford, NJ",-75.1738889,39.8425
"Westminster","MD",22103,361.891228070175,"Westminster, MD",-76.9958149,39.5753791
"West Palm Beach","FL",9885.83333333333,2692.87671232877,"West Palm Beach, FL",-80.0533746,26.7153424
"Westwood","NJ",2401.6,1878.19185645273,"Westwood, NJ",-74.0326395,40.9912087
"Wheeling","WV",18643.7,2286.11111111111,"Wheeling, WV",-80.7209149,40.0639616
"Wichita","KS",13323.0666666667,2590.91275167785,"Wichita, KS",-97.3361111,37.6888889
"Williamsburg","VA",13893.5,395.833333333333,"Williamsburg, VA",-76.7074571,37.2707022
"Williamsport","PA",9607.35,783.865168539326,"Williamsport, PA",-77.0010786,41.2411897
"Wilmington","NC",13543.55,1735.3125,"Wilmington, NC",-77.9447102,34.2257255
"Wilsonville","OR",20993.05,239.625,"Wilsonville, OR",-122.7737062,45.2998418
"Winston-Salem","NC",16527.65,1847.73148148148,"Winston-Salem, NC",-80.244216,36.0998596
